Application_number,Country,SOP,PS,LOR,GRE,Research,IELTS,Experience,Admit
145383,INT,4.4,2.0,4.6,319,1,1,1,0
172425,USA,3.1,1.4,3.6,336,0,1,2,1
185303,USA,4.9,4.1,1.2,339,0,0,2,1
165063,USA,1.1,4.1,4.5,303,0,1,2,0
162533,USA,2.0,2.2,4.3,309,1,0,2,0
177871,USA,3.8,1.1,2.9,327,1,0,2,1
178102,USA,3.2,4.3,2.3,322,0,0,1,1
157326,INT,1.2,4.2,1.2,320,1,1,1,1
157780,INT,1.7,1.7,3.6,290,1,0,1,1
112195,INT,1.5,3.8,3.0,301,1,1,2,1
110266,USA,1.2,3.0,2.8,308,1,0,2,0
148414,USA,1.0,1.8,1.6,264,0,0,2,1
107463,USA,3.5,4.8,1.9,315,0,0,2,1
138198,USA,1.7,4.1,5.0,310,0,0,2,1
127045,INT,2.7,3.8,3.6,336,0,0,2,0
176963,USA,1.3,3.2,3.5,261,0,0,1,0
110279,INT,4.6,2.5,1.3,261,1,1,2,1
153525,USA,3.2,1.1,4.7,290,0,1,2,0
132208,INT,2.0,2.5,1.0,268,1,1,1,0
150911,INT,2.0,3.7,4.0,333,1,0,1,1
102858,USA,1.9,2.0,4.4,283,0,1,1,0
136563,INT,3.3,2.4,1.4,333,1,1,1,0
185126,USA,2.0,4.0,3.9,270,0,1,1,1
112988,INT,3.2,4.3,1.6,296,0,0,2,0
137677,USA,2.5,3.6,3.4,309,0,1,2,0
157761,INT,2.4,2.9,2.6,312,1,1,2,0
151408,INT,3.2,1.7,2.1,285,1,1,1,0
167357,USA,4.0,1.2,1.7,283,1,0,1,1
158679,USA,3.8,1.2,3.8,338,0,1,2,0
183070,USA,3.3,3.7,4.9,283,1,0,2,0
111647,INT,3.3,2.2,1.2,328,0,0,2,1
187369,USA,2.0,5.0,4.4,321,1,0,1,1
168501,USA,1.1,1.9,2.0,333,1,0,1,1
114445,USA,2.7,1.2,3.6,290,1,0,2,1
126712,INT,2.8,1.4,1.5,282,0,1,2,0
172803,INT,4.6,3.9,3.7,316,0,1,1,1
157060,USA,4.4,4.2,2.4,335,0,1,2,1
195689,INT,2.8,3.9,3.0,304,1,0,2,0
194004,USA,3.1,4.2,2.8,280,0,0,1,0
175025,INT,3.2,2.2,4.1,260,1,1,1,1
128124,INT,1.5,2.4,1.9,295,0,0,1,0
147309,USA,2.4,1.4,3.2,290,0,0,1,0
194832,INT,4.2,1.5,2.6,277,0,0,2,1
192856,INT,4.6,4.9,3.2,275,0,1,1,1
155078,USA,2.5,2.5,1.5,304,1,0,2,0
193435,USA,2.2,4.8,3.6,321,0,0,2,1
188271,USA,2.1,3.1,2.0,318,1,1,1,0
147308,INT,1.3,1.5,3.6,260,1,1,1,0
169194,INT,2.9,4.2,1.0,287,1,0,2,0
139061,INT,3.7,1.1,2.5,318,0,0,2,1
171263,INT,4.5,3.7,4.8,281,0,1,1,1
102430,INT,4.5,1.4,3.3,267,0,1,2,1
133168,USA,3.7,1.2,1.1,298,1,1,1,0
150155,USA,1.8,1.5,1.5,283,1,0,2,0
103173,USA,3.0,1.8,2.8,283,1,0,2,1
146843,USA,3.5,3.5,1.3,262,0,1,2,0
125647,INT,3.8,4.3,3.5,308,1,1,2,0
190876,USA,3.8,4.4,2.5,323,0,0,2,0
132121,USA,4.0,1.9,4.4,284,1,1,2,0
183660,INT,1.1,3.8,1.5,330,0,1,1,1
171211,INT,1.0,4.1,1.5,292,0,1,1,0
185682,INT,2.9,3.4,2.7,281,1,0,2,1
157444,USA,1.2,2.1,1.8,330,0,1,2,0
182577,USA,2.6,2.3,2.9,315,1,0,1,0
